channel,video_id,title,url,source,vtt_path,txt_path,bytes,status
exurb1a,9dKw_unRgrM,The Five Stages of Machine Telepathy,https://www.youtube.com/watch?v=9dKw_unRgrM,HACKER097/exurbia-video-finder public VTT archive,transcripts/exurb1a/archive_hacker097/vtt/The Five Stages of Machine Telepathy-9dKw_unRgrM.en.vtt,transcripts/exurb1a/archive_hacker097/text/The Five Stages of Machine Telepathy-9dKw_unRgrM.en.txt,6649,archived
exurb1a,K3X2Fv-c3Fc,The Moon is a Door to Forever,https://www.youtube.com/watch?v=K3X2Fv-c3Fc,HACKER097/exurbia-video-finder public VTT archive,transcripts/exurb1a/archive_hacker097/vtt/The Moon is a Door to Forever-K3X2Fv-c3Fc.en.vtt,transcripts/exurb1a/archive_hacker097/text/The Moon is a Door to Forever-K3X2Fv-c3Fc.en.txt,22251,archived
exurb1a,hS_AXRRnIzM,The Rememberer,https://www.youtube.com/watch?v=hS_AXRRnIzM,HACKER097/exurbia-video-finder public VTT archive,transcripts/exurb1a/archive_hacker097/vtt/The Rememberer-hS_AXRRnIzM.en.vtt,transcripts/exurb1a/archive_hacker097/text/The Rememberer-hS_AXRRnIzM.en.txt,38814,archived
exurb1a,QkP4g9e86qA,The Story of Western Philosophy,https://www.youtube.com/watch?v=QkP4g9e86qA,HACKER097/exurbia-video-finder public VTT archive,transcripts/exurb1a/archive_hacker097/vtt/The Story of Western Philosophy-QkP4g9e86qA.en.vtt,transcripts/exurb1a/archive_hacker097/text/The Story of Western Philosophy-QkP4g9e86qA.en.txt,17858,archived
exurb1a,mheHbVev1CU,The Universe in 4 Minutes,https://www.youtube.com/watch?v=mheHbVev1CU,HACKER097/exurbia-video-finder public VTT archive,transcripts/exurb1a/archive_hacker097/vtt/The Universe in 4 Minutes-mheHbVev1CU.en.vtt,transcripts/exurb1a/archive_hacker097/text/The Universe in 4 Minutes-mheHbVev1CU.en.txt,8941,archived
exurb1a,WdVscdDX7ac,Theories of Everything,https://www.youtube.com/watch?v=WdVscdDX7ac,HACKER097/exurbia-video-finder public VTT archive,transcripts/exurb1a/archive_hacker097/vtt/Theories of Everything-WdVscdDX7ac.en.vtt,transcripts/exurb1a/archive_hacker097/text/Theories of Everything-WdVscdDX7ac.en.txt,7375,archived
exurb1a,MANyX7woDPA,thoughts about writing,https://www.youtube.com/watch?v=MANyX7woDPA,HACKER097/exurbia-video-finder public VTT archive,transcripts/exurb1a/archive_hacker097/vtt/thoughts about writing-MANyX7woDPA.en.vtt,transcripts/exurb1a/archive_hacker097/text/thoughts about writing-MANyX7woDPA.en.txt,22095,archived
exurb1a,N29Qd82Gbdc,Thoughts From Your Deathbed,https://www.youtube.com/watch?v=N29Qd82Gbdc,HACKER097/exurbia-video-finder public VTT archive,transcripts/exurb1a/archive_hacker097/vtt/Thoughts From Your Deathbed-N29Qd82Gbdc.en.vtt,transcripts/exurb1a/archive_hacker097/text/Thoughts From Your Deathbed-N29Qd82Gbdc.en.txt,9764,archived
exurb1a,ra3DlQTGe8Q,Time Travel. A How To,https://www.youtube.com/watch?v=ra3DlQTGe8Q,HACKER097/exurbia-video-finder public VTT archive,transcripts/exurb1a/archive_hacker097/vtt/Time Travel. A How To-ra3DlQTGe8Q.en.vtt,transcripts/exurb1a/archive_hacker097/text/Time Travel. A How To-ra3DlQTGe8Q.en.txt,3873,archived
exurb1a,wPODghAr3Vc,Unlimited Rice Pudding,https://www.youtube.com/watch?v=wPODghAr3Vc,HACKER097/exurbia-video-finder public VTT archive,transcripts/exurb1a/archive_hacker097/vtt/Unlimited Rice Pudding-wPODghAr3Vc.en.vtt,transcripts/exurb1a/archive_hacker097/text/Unlimited Rice Pudding-wPODghAr3Vc.en.txt,18274,archived
exurb1a,B01HWsilRqs,Upsilon Dies Backwards,https://www.youtube.com/watch?v=B01HWsilRqs,HACKER097/exurbia-video-finder public VTT archive,transcripts/exurb1a/archive_hacker097/vtt/Upsilon Dies Backwards-B01HWsilRqs.en.vtt,transcripts/exurb1a/archive_hacker097/text/Upsilon Dies Backwards-B01HWsilRqs.en.txt,24643,archived
exurb1a,SvbTFwXagdQ,We're the Last Humans Left,https://www.youtube.com/watch?v=SvbTFwXagdQ,HACKER097/exurbia-video-finder public VTT archive,transcripts/exurb1a/archive_hacker097/vtt/We're the Last Humans Left-SvbTFwXagdQ.en.vtt,transcripts/exurb1a/archive_hacker097/text/We're the Last Humans Left-SvbTFwXagdQ.en.txt,12951,archived
exurb1a,Rp6epAyJ7sQ,WHAT DOES UNIVERSE DO,https://www.youtube.com/watch?v=Rp6epAyJ7sQ,HACKER097/exurbia-video-finder public VTT archive,transcripts/exurb1a/archive_hacker097/vtt/WHAT DOES UNIVERSE DO-Rp6epAyJ7sQ.en.vtt,transcripts/exurb1a/archive_hacker097/text/WHAT DOES UNIVERSE DO-Rp6epAyJ7sQ.en.txt,3804,archived
exurb1a,dzLtHqr1qjA,Wheel of Future History,https://www.youtube.com/watch?v=dzLtHqr1qjA,HACKER097/exurbia-video-finder public VTT archive,transcripts/exurb1a/archive_hacker097/vtt/Wheel of Future History-dzLtHqr1qjA.en.vtt,transcripts/exurb1a/archive_hacker097/text/Wheel of Future History-dzLtHqr1qjA.en.txt,14587,archived
exurb1a,7cidUaUCb5M,Where Be Aliens,https://www.youtube.com/watch?v=7cidUaUCb5M,HACKER097/exurbia-video-finder public VTT archive,transcripts/exurb1a/archive_hacker097/vtt/Where Be Aliens-7cidUaUCb5M.en.vtt,transcripts/exurb1a/archive_hacker097/text/Where Be Aliens-7cidUaUCb5M.en.txt,8845,archived
exurb1a,KjeKiIa7XEk,Why is the Milk Gone,https://www.youtube.com/watch?v=KjeKiIa7XEk,HACKER097/exurbia-video-finder public VTT archive,transcripts/exurb1a/archive_hacker097/vtt/Why is the Milk Gone-KjeKiIa7XEk.en.vtt,transcripts/exurb1a/archive_hacker097/text/Why is the Milk Gone-KjeKiIa7XEk.en.txt,5522,archived
exurb1a,1a9FfyuoJ8c,Why is There Something Rather Than Nothing,https://www.youtube.com/watch?v=1a9FfyuoJ8c,HACKER097/exurbia-video-finder public VTT archive,transcripts/exurb1a/archive_hacker097/vtt/Why is There Something Rather Than Nothing-1a9FfyuoJ8c.en.vtt,transcripts/exurb1a/archive_hacker097/text/Why is There Something Rather Than Nothing-1a9FfyuoJ8c.en.txt,11871,archived
exurb1a,8kX62n6yNXA,You (Probably) Don't Exist,https://www.youtube.com/watch?v=8kX62n6yNXA,HACKER097/exurbia-video-finder public VTT archive,transcripts/exurb1a/archive_hacker097/vtt/You (Probably) Don't Exist-8kX62n6yNXA.en.vtt,transcripts/exurb1a/archive_hacker097/text/You (Probably) Don't Exist-8kX62n6yNXA.en.txt,14617,archived
exurb1a,vmIUvp0e1bw,You Will Never Do Anything Remarkable,https://www.youtube.com/watch?v=vmIUvp0e1bw,HACKER097/exurbia-video-finder public VTT archive,transcripts/exurb1a/archive_hacker097/vtt/You Will Never Do Anything Remarkable-vmIUvp0e1bw.en.vtt,transcripts/exurb1a/archive_hacker097/text/You Will Never Do Anything Remarkable-vmIUvp0e1bw.en.txt,17764,archived
